"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1998","34-NW",239,"meters",-111.939857,59.565719,TRUE
"1999","358-NW",296,"meters",-111.375656,57.497894,TRUE
"2000","413-NW",682,"meters",-113.110275,57.323272,TRUE
"2001","414-NW",737,"meters",-112.846794,57.294983,TRUE
"2002","442-NW",766,"meters",-113.577225,57.201564,TRUE
"2003","472-NW",604,"meters",-113.571747,56.993167,TRUE
"2004","473-NW",539,"meters",-113.249763,57.02507,TRUE
"2005","512-NW",455,"meters",-110.742599,56.56314,TRUE
"2006","574-NW",582,"meters",-110.90043,56.174919,TRUE
"2007","575-NW",447,"meters",-110.594681,56.109256,TRUE
"2008","664-NW",532,"meters",-112.605179,55.852993,TRUE
"2009","791-NW",575,"meters",-112.233109,55.034576,TRUE
"2010","793-NW",578,"meters",-111.73012,54.976463,TRUE
"2011","825-NW",641,"meters",-111.665276,54.811954,TRUE
"2012","855-NW",594,"meters",-112.363113,54.682022,TRUE
"2013","991-NW",613,"meters",-111.167091,53.823879,TRUE
"2014","266-NW",389,"meters",-112.512741,58.205688,TRUE
"2015","331-NW",362,"meters",-110.613266,57.633213,TRUE
"2016","359-NW",328,"meters",-111.054222,57.454883,TRUE
"2017","389-NW",367,"meters",-111.113747,57.299912,TRUE
"2018","390-NW",577,"meters",-110.721565,57.268985,TRUE
"2019","3-NW",214,"meters",-111.849083,59.94268,TRUE
"2020","413-NW",682,"meters",-113.110275,57.323272,TRUE
"2021","443-NW",636,"meters",-113.191315,57.134647,TRUE
"2022","473-NW",539,"meters",-113.249763,57.02507,TRUE
"2023","514-NW",501,"meters",-110.065025,56.463573,TRUE
"2024","545-NW",483,"meters",-110.207954,56.264293,TRUE
"2025","574-NW",582,"meters",-110.90043,56.174919,TRUE
"2026","601-NW",553,"meters",-112.27784,56.145565,TRUE
"2027","793-NW",578,"meters",-111.73012,54.976463,TRUE
"2028","855-NW",594,"meters",-112.363113,54.682022,TRUE
"2029","856-NW",580,"meters",-112.058853,54.65763,TRUE
"2030","990-NW",640,"meters",-111.464218,53.872203,TRUE
"2031","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"2032","14-NW",251,"meters",-112.230896,59.796966,TRUE
"2033","1-NW",330,"meters",-110.282402,59.943126,TRUE
"2034","234-NW",245,"meters",-113.046516,58.418022,TRUE
"2035","235-NW",222,"meters",-112.75727,58.367568,TRUE
"2036","2-NW",193,"meters",-112.202679,59.970813,TRUE
"2037","330-NW",300,"meters",-110.962219,57.668617,TRUE
"2038","358-NW",296,"meters",-111.375656,57.497894,TRUE
"2039","359-NW",328,"meters",-111.054222,57.454883,TRUE
"2040","360-NW",413,"meters",-110.709099,57.468082,TRUE
"2041","388-NW",310,"meters",-111.48172,57.341125,TRUE
"2042","412-NW",789,"meters",-113.492157,57.38126,TRUE
"2043","413-NW",682,"meters",-113.110275,57.323272,TRUE
"2044","512-NW",455,"meters",-110.742599,56.56314,TRUE
"2045","575-NW",447,"meters",-110.594681,56.109256,TRUE
"2046","600-NW",479,"meters",-112.548492,56.176391,TRUE
"2047","791-NW",575,"meters",-112.233109,55.034576,TRUE
"2048","794-NW",762,"meters",-111.336494,54.970066,TRUE
"2049","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"2050","234-NW",245,"meters",-113.046516,58.418022,TRUE
"2051","236-NW",220,"meters",-112.436066,58.374332,TRUE
"2052","266-NW",389,"meters",-112.512741,58.205688,TRUE
"2053","329-NW",266,"meters",-111.269035,57.668869,TRUE
"2054","32-NW",275,"meters",-112.604416,59.677497,TRUE
"2055","389-NW",367,"meters",-111.113747,57.299912,TRUE
"2056","3-NW",214,"meters",-111.849083,59.94268,TRUE
"2057","412-NW",789,"meters",-113.492157,57.38126,TRUE
"2058","442-NW",766,"meters",-113.577225,57.201564,TRUE
"2059","443-NW",636,"meters",-113.191315,57.134647,TRUE
"2060","472-NW",604,"meters",-113.571747,56.993167,TRUE
